PicID,Time,Latitude,Longitude
IMG_7790.JPG,2023:02:09 12:21:54,-1.3140888888888889,36.87233055555556
IMG_0799.JPG,2023:02:20 11:04:27,-1.3660222222222222,36.76688333333333
IMG_6303.JPG,2023:02:01 14:22:01,-1.2518972222222222,36.82538611111112
IMG_0772.JPG,2023:02:20 11:01:03,-1.3467583333333333,36.765344444444445
IMG_8448.JPG,2023:02:11 11:42:30,-1.2797305555555556,37.04933611111111
IMG_6465.JPG,2023:02:03 13:43:44,-1.3069388888888889,36.78382222222222
IMG_6471.JPG,2023:02:03 13:43:55,-1.3064944444444444,36.78350833333333
IMG_6317.JPG,2023:02:01 17:07:08,-1.2280444444444445,36.80515277777778
IMG_0766.JPG,2023:02:20 11:00:24,-1.3427749999999998,36.76687222222222
IMG_7009.JPG,2023:02:04 15:11:10,-1.3421194444444444,36.767719444444445
IMG_7021.JPG,2023:02:04 15:12:48,-1.3370583333333332,36.77475277777778
IMG_8312.JPG,2023:02:11 11:18:50,-1.2645194444444443,36.98424166666667
IMG_7747.JPG,2023:02:09 09:50:03,-1.3150722222222222,36.87216111111111
IMG_8474.JPG,2023:02:11 11:55:11,-1.279736111111111,37.048788888888886
IMG_6459.JPG,2023:02:03 13:18:21,-1.309036111111111,36.78270555555555
IMG_8460.JPG,2023:02:11 11:44:39,-1.281863888888889,37.06008611111111
IMG_7035.JPG,2023:02:04 15:17:34,-1.3156861111111111,36.78896666666667
IMG_8306.JPG,2023:02:11 11:17:47,-1.2641694444444445,36.98248333333333
IMG_8689.JPG,2023:02:12 08:18:46,-1.2690027777777777,36.66056111111111
IMG_8138.JPG,2023:02:11 10:46:37,-1.3296805555555555,36.87144722222222
IMG_8676.JPG,2023:02:12 08:15:39,-1.2896027777777777,36.68384444444444
IMG_8110.JPG,2023:02:11 10:42:09,-1.321161111111111,36.84127777777778
IMG_7223.JPG,2023:02:05 10:38:30,-1.279288888888889,36.80681666666666
IMG_8104.JPG,2023:02:11 10:41:21,-1.3173638888888888,36.83488888888889
IMG_7237.JPG,2023:02:05 10:39:32,-1.278725,36.80363611111111
IMG_8662.JPG,2023:02:12 08:10:29,-1.3094222222222225,36.72746388888889
IMG_7394.JPG,2023:02:05 12:02:22,-1.2982333333333331,36.80170833333333
IMG_7380.JPG,2023:02:05 12:01:49,-1.297711111111111,36.80299444444445
IMG_8058.JPG,2023:02:11 10:33:05,-1.2973277777777776,36.80565555555555
IMG_8702.JPG,2023:02:12 08:21:29,-1.2401777777777778,36.66569444444444
IMG_8064.JPG,2023:02:11 10:33:58,-1.2960083333333332,36.808727777777776
IMG_7357.JPG,2023:02:05 11:59:57,-1.294311111111111,36.80016388888889
IMG_8070.JPG,2023:02:11 10:35:00,-1.2950722222222222,36.81259166666666
IMG_7343.JPG,2023:02:05 11:59:06,-1.2896416666666666,36.7981
IMG_8716.JPG,2023:02:12 08:23:54,-1.2214250000000002,36.66322777777778
IMG_8299.JPG,2023:02:11 11:07:50,-1.2657027777777778,36.98136111111111
IMG_7814.JPG,2023:02:09 12:35:18,-1.3126277777777775,36.87094444444445
IMG_7800.JPG,2023:02:09 12:27:52,-1.312913888888889,36.87211666666667
IMG_0809.JPG,2023:02:20 11:05:28,-1.3735444444444445,36.769213888888885
IMG_6288.JPG,2023:02:01 14:18:21,-1.259961111111111,36.836666666666666
IMG_7196.JPG,2023:02:05 10:36:06,-1.2869555555555554,36.80060555555556
IMG_7828.JPG,2023:02:09 12:39:03,-1.3121055555555556,36.87036111111111
IMG_7182.JPG,2023:02:05 10:35:23,-1.288333333333333,36.79842222222222
IMG_7169.JPG,2023:02:05 10:35:03,-1.2897055555555554,36.79776388888889
IMG_6277.JPG,2023:02:01 14:16:59,-1.2632555555555556,36.83839444444445
IMG_6511.JPG,2023:02:03 13:45:17,-1.304936111111111,36.7878
IMG_6505.JPG,2023:02:03 13:45:05,-1.3055361111111112,36.787619444444445
IMG_8528.JPG,2023:02:11 12:08:38,-1.2693055555555557,36.99356111111111
IMG_6263.JPG,2023:02:01 14:15:53,-1.2710055555555555,36.82926111111112
IMG_7155.JPG,2023:02:05 10:34:22,-1.289655555555555,36.79624166666667
IMG_8266.JPG,2023:02:11 11:03:06,-1.2802361111111111,36.964775
IMG_7633.JPG,2023:02:09 09:39:48,-1.3119583333333331,36.85140555555556
IMG_8500.JPG,2023:02:11 12:00:21,-1.2772416666666666,37.02365555555556
IMG_6539.JPG,2023:02:03 13:49:00,-1.2980944444444442,36.788075
IMG_7627.JPG,2023:02:09 09:36:59,-1.3003472222222223,36.83722777777778
IMG_8514.JPG,2023:02:11 12:04:01,-1.275283333333333,37.003875
IMG_7141.JPG,2023:02:05 10:31:35,-1.2960027777777776,36.79541111111111
IMG_8272.JPG,2023:02:11 11:03:32,-1.2789638888888888,36.96742777777778
IMG_8515.JPG,2023:02:11 12:04:58,-1.2740361111111111,37.00127777777778
IMG_7626.JPG,2023:02:09 09:36:52,-1.299811111111111,36.83710833333333
IMG_6538.JPG,2023:02:03 13:48:57,-1.2982777777777776,36.788066666666666
IMG_8273.JPG,2023:02:11 11:03:34,-1.278761111111111,36.96776111111112
IMG_7140.JPG,2023:02:05 10:31:32,-1.296086111111111,36.79543333333333
IMG_8267.JPG,2023:02:11 11:03:13,-1.2799222222222222,36.96553611111111
IMG_7154.JPG,2023:02:05 10:34:20,-1.2897888888888889,36.796188888888885
IMG_8501.JPG,2023:02:11 12:00:55,-1.2769388888888888,37.02003055555556
IMG_7632.JPG,2023:02:09 09:39:48,-1.3119166666666666,36.85130277777778
IMG_8529.JPG,2023:02:11 12:08:44,-1.269172222222222,36.99336944444445
IMG_6504.JPG,2023:02:03 13:45:02,-1.305725,36.78754444444444
IMG_6262.JPG,2023:02:01 14:15:51,-1.2712222222222225,36.828919444444445
IMG_6276.JPG,2023:02:01 14:16:56,-1.2635722222222223,36.837872222222224
IMG_7168.JPG,2023:02:05 10:35:00,-1.289672222222222,36.79765277777778
IMG_6510.JPG,2023:02:03 13:45:15,-1.3050388888888889,36.78776388888889
IMG_7183.JPG,2023:02:05 10:35:29,-1.2876138888888888,36.79861388888889
IMG_7197.JPG,2023:02:05 10:37:14,-1.28755,36.80258055555555
IMG_6289.JPG,2023:02:01 14:18:30,-1.2597138888888888,36.836288888888895
IMG_7829.JPG,2023:02:09 12:39:08,-1.3121222222222222,36.87036111111111
IMG_7801.JPG,2023:02:09 12:30:21,-1.31275,36.87213611111111
IMG_0808.JPG,2023:02:20 11:05:24,-1.3727222222222222,36.76889722222222
IMG_8298.JPG,2023:02:11 11:06:38,-1.2662166666666668,36.98101388888889
IMG_7815.JPG,2023:02:09 12:35:55,-1.3127305555555555,36.87069722222223
IMG_7342.JPG,2023:02:05 11:59:05,-1.289597222222222,36.79810555555555
IMG_8071.JPG,2023:02:11 10:35:17,-1.2948694444444444,36.813538888888885
IMG_8717.JPG,2023:02:12 08:24:08,-1.2192833333333335,36.662952777777775
IMG_8703.JPG,2023:02:12 08:21:31,-1.239988888888889,36.665725
IMG_7356.JPG,2023:02:05 11:59:56,-1.2939305555555554,36.79987222222222
IMG_8065.JPG,2023:02:11 10:34:07,-1.295436111111111,36.80943611111111
IMG_8059.JPG,2023:02:11 10:33:16,-1.2970805555555551,36.80679444444444
IMG_7381.JPG,2023:02:05 12:01:51,-1.2977638888888887,36.80304444444444
IMG_7395.JPG,2023:02:05 12:02:28,-1.2983333333333331,36.80111111111111
IMG_7236.JPG,2023:02:05 10:39:29,-1.2787694444444444,36.803825
IMG_8105.JPG,2023:02:11 10:41:30,-1.3179277777777778,36.835794444444446
IMG_8663.JPG,2023:02:12 08:10:37,-1.308652777777778,36.72634722222222
IMG_8677.JPG,2023:02:12 08:15:51,-1.288186111111111,36.68273611111111
IMG_7222.JPG,2023:02:05 10:38:28,-1.2795138888888888,36.806955555555554
IMG_8111.JPG,2023:02:11 10:42:14,-1.3215472222222222,36.84203611111111
IMG_8139.JPG,2023:02:11 10:46:43,-1.3296083333333333,36.87215555555556
IMG_6869.JPG,2023:02:04 11:51:31,-1.3343972222222222,36.77933055555555
IMG_8688.JPG,2023:02:12 08:18:28,-1.2714694444444443,36.662752777777776
IMG_8461.JPG,2023:02:11 11:44:52,-1.2822055555555556,37.06131388888888
IMG_8307.JPG,2023:02:11 11:18:16,-1.264113888888889,36.982594444444445
IMG_7034.JPG,2023:02:04 15:17:32,-1.3159361111111112,36.788783333333335
IMG_8313.JPG,2023:02:11 11:18:52,-1.2645277777777777,36.98430555555556
IMG_7020.JPG,2023:02:04 15:12:43,-1.3374194444444445,36.77393611111111
IMG_6458.JPG,2023:02:03 13:17:57,-1.3090416666666669,36.782694444444445
IMG_8475.JPG,2023:02:11 11:55:17,-1.2796999999999998,37.04845833333333
IMG_7746.JPG,2023:02:09 09:49:55,-1.3149111111111111,36.87208055555556
IMG_6470.JPG,2023:02:03 13:43:54,-1.3066111111111112,36.78337222222222
IMG_7008.JPG,2023:02:04 15:11:06,-1.342275,36.76730555555555
IMG_0767.JPG,2023:02:20 11:00:31,-1.343511111111111,36.766533333333335
IMG_6316.JPG,2023:02:01 14:26:50,-1.2336583333333333,36.80325277777777
IMG_0773.JPG,2023:02:20 11:01:11,-1.347247222222222,36.76517222222222
IMG_6302.JPG,2023:02:01 14:21:04,-1.2522055555555556,36.82864722222222
IMG_6464.JPG,2023:02:03 13:43:43,-1.3069388888888889,36.78382222222222
IMG_8449.JPG,2023:02:11 11:42:33,-1.2797611111111111,37.04963611111111
IMG_7791.JPG,2023:02:09 12:23:36,-1.3132666666666668,36.87263611111111
IMG_0798.JPG,2023:02:20 11:04:20,-1.365313888888889,36.76649722222222
IMG_8488.JPG,2023:02:11 11:57:46,-1.2784555555555557,37.036544444444445
IMG_7793.JPG,2023:02:09 12:23:38,-1.3132555555555556,36.8726
IMG_6499.JPG,2023:02:03 13:44:48,-1.3062027777777778,36.787052777777774
IMG_6314.JPG,2023:02:01 14:25:10,-1.2404611111111112,36.81297222222222
IMG_0765.JPG,2023:02:20 11:00:20,-1.3425333333333334,36.76698611111111
IMG_8339.JPG,2023:02:11 11:22:41,-1.2676888888888889,36.99104444444445
IMG_6472.JPG,2023:02:03 13:43:57,-1.3064,36.78366388888889
